cnpj,cgf,razaoSocial,regime,cadastro_dominio
08198069000183,63692627,D C MATERIAL DE CONSTRUCAO LTDA,EPP,820
28942796000110,67374360,DEL PASEO OPTIC COMERCIO DE ARTIGOS OPTICOS LTDA-ME,MICROEMPRESA,263
35057801000178,71619771,J R LIMA SOUSA COMERCIO DE ALIMENTOS LTDA,NORMAL,368
41550666000109,68927525,MA DE ALMEIDA COMERCIO DE ALIMENTOS IDEAL LTDA,NORMAL,768
12981026000147,64209318,MERCANTIL SUPER CUMBUCO LTDA,NORMAL,154
17608115000166,65081250,COMERCIAL PRAIA E MAR LTDA,NORMAL,718
02908742000145,62746987,NUTRICAO COMERCIO E SERVICOS LTDA,NORMAL,331
00224205000150,69408327,CBV BEBIDAS LTDA,NORMAL,559
08393493000189,62011308,MARACANAU VISION COMERCIO DE ARTIGOS OPTICOS LTDA-ME,MICROEMPRESA,261
39426970000199,62269216,MARINE COMERCIO DE PEIXES E CORAIS LTDA,MICROEMPRESA,324
39452463000120,62330667,COMERCIO COLCHOES DOS SONHOS LTDA,MICROEMPRESA,547
39615700000126,62362402,ANTONIA DAS GRACAS DA SILVA PAIXAO,MICROEMPRESA,626
08198069000183,63692627,D C MATERIAL DE CONSTRUCAO LTDA,EPP,820
28942796000110,67374360,DEL PASEO OPTIC COMERCIO DE ARTIGOS OPTICOS LTDA-ME,MICROEMPRESA,263
28941256000112,67384218,LRX COM.DE EQUIP.DE COMBATE A INCENDIO E SEGURANÇA LTDA ME,NORMAL,762
28942796000110,67374360,DEL PASEO OPTIC COMERCIO DE ARTIGOS OPTICOS LTDA-ME,MICROEMPRESA,263
28941256000112,67384218,LRX COM.DE EQUIP.DE COMBATE A INCENDIO E SEGURANÇA LTDA ME,NORMAL,762
28859335000189,67372856,"NORDESTE DISTRIBUIDORA DE GLP, AGUA E SERVICOS UNIPESSOAL LTDA",OUTROS,567
13254185000102,60872993,RVR TURISMO E EVENTOS LTDA ME,MICROEMPRESA,152
02174437000177,69954275,PLANETA FERROVIA COMÉRCIO DE PRODUTOS OPTICOS LTDA EPP,EPP,613
42781752000187,70152713,INARIO INDUSTRIA E COMERCIO DE PERSIANAS E CORTINAS LTDA,MICROEMPRESA,49
28429030000218,70605424,A L S MENDES MOVEIS,NORMAL,37
39426970000199,62269216,MARINE COMERCIO DE PEIXES E CORAIS LTDA,MICROEMPRESA,324
26958105000141,66371724,CSM FUTEBOL CLUBE LTDA,MICROEMPRESA,369
28429030000218,70605424,A L S MENDES MOVEIS,NORMAL,37
36410673000167,62381113,J P SILVA COMERCIO DE PRODUTOS FARMACEUTICOS,MICROEMPRESA,19
40018474000185,61263001,FILE PRIME RESTAURANTE LTDA,NORMAL,788
26958105000141,66371724,CSM FUTEBOL CLUBE LTDA,MICROEMPRESA,369
36965599000145,62570790,SHIRLLEY MARA BESSA PEREIRA - ME,MICROEMPRESA,836
28429030000218,70605424,A L S MENDES MOVEIS,NORMAL,37
37096002000136,62558781,PIZZARIA SANTA MARGHERITA LTDA,NORMAL,640
41393030000192,61268119,EMPACOTADORA DE ALIMENTOS VO MANNY LTDA,NORMAL,679
26958105000141,66371724,CSM FUTEBOL CLUBE LTDA,MICROEMPRESA,369
26958105000141,66371724,CSM FUTEBOL CLUBE LTDA,MICROEMPRESA,369
42639165000158,70084530,F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS,NORMAL,52
41393030000192,61268119,EMPACOTADORA DE ALIMENTOS VO MANNY LTDA,NORMAL,679
39615700000126,62362402,ANTONIA DAS GRACAS DA SILVA PAIXAO,MICROEMPRESA,626
24937274000170,65000870,JC MOTA DO AMARAL OFICINA DE MOTOS LTDA,NORMAL,461
24736676000106,67563694,JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA,MICROEMPRESA,659
24937274000170,65000870,JC MOTA DO AMARAL OFICINA DE MOTOS LTDA,NORMAL,461
24736676000106,67563694,JULIANA DE FREITAS CASTRO RABELO ATIVIDADES DE ESTETICA,MICROEMPRESA,659
42639165000158,70084530,F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS,NORMAL,52
24689061000176,64980243,J C DA S MESQUITA COMPUTADORES ME,MICROEMPRESA,59
43111831000143,70100896,LUISIANA GIRAO LTDA,MICROEMPRESA,558
23996720000154,64836096,EUSEBIO VISION COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,258
00057733000162,61787507,M B GUIMARAES NETO & CIA LTDA,NORMAL,356
44195954000172,70296995,"JAV AMBIENTACOES, FABRICACAO E COMERCIO LTDA",EPP,133
23996720000154,64836096,EUSEBIO VISION COMERCIO DE ARTIGOS OPTICOS LTDA ME,MICROEMPRESA,258
00057733000162,61787507,M B GUIMARAES NETO & CIA LTDA,NORMAL,356
42781752000187,70152713,INARIO INDUSTRIA E COMERCIO DE PERSIANAS E CORTINAS LTDA,MICROEMPRESA,49
23343540000254,64716899,BRN COMERCIO DE CALCADOS LTDA,NORMAL,489
42641227000166,70073600,TAPEBA COMERCIO DE ARTIGOS OPTICOS LTDA,MICROEMPRESA,265
11075280000113,61907332,FRANCISCO XAVIER NETO ME,NORMAL,309
42299117000168,70033480,"NORDESTE DISTRIBUIDORA DE GLP, AGUA , MATERIAIS ELETRICOS E",NORMAL,562
